n19,n19_1,f1r11b_1,7.709957073,"126.6339869,37.3744773,126.6339215,37.3745159",0
n8,n8_1,f1r8_1,8.643456519,"126.6337251,37.3741937,126.6336516,37.3742361",0
194A-A동정문,n0,f1_0,4.595363469,"126.6333316,37.3744735,126.6333703,37.3744492",0
n0,n0_1,f1_1,28.7743854,"126.6333316,37.3744735,126.6335518,37.3747013",0
n0_1,194D-B동정문,f1_2,4.567570322,"126.6335903,37.3746773,126.6335518,37.3747013",0
194B-A동후문,194C-B동후문,f1_3,23.53155656,"126.6337673,37.3742394,126.633945,37.374432",0
n21,계단입구8,f2b1,1.194363097,"126.6336522, 37.3746953, 126.6336427, 37.3746869","126.6336525,37.3746956"
n22,212-실험준비실-1,212,1.21932071,"126.6336902, 37.3746733, 126.633681, 37.3746633","126.6336902,37.3746733"
211-컴퓨터실험실-2,n23,211_1,1.064670502,"126.6337011, 37.374651, 126.6336928, 37.374643","126.6336906,37.3746423"
n24,213-임베디드영상신호처리실험실,213,1.395803423,"126.6337585, 37.3746335, 126.6337478, 37.3746225","126.6337585,37.3746335"
211-컴퓨터실험실-2,n25,211_2,1.385499484,"126.6337705, 37.3745916, 126.6337812, 37.3746023","126.6337705,37.3745916"
210-실험준비실-2,n26,210,1.368797062,"126.6337967, 37.3745756, 126.6338074, 37.3745858","126.6337967,37.3745756"
n27,214-연구용실험실,214,1.326449813,"126.6338318, 37.3745884, 126.6338218, 37.3745775","126.6338323,37.3745892"
209-학과사무실(정보통신공학과),n28,209,1.101517413,"126.6338367, 37.3745539, 126.6338451, 37.3745627","126.6338356,37.3745522"
n29,215-전파공학전파환경연구실,215,1.54071148,"126.6338986, 37.3745506, 126.633887, 37.3745379","126.6338986,37.3745506"
계단입구7,n30,f2b2,1.178323002,"126.6339105, 37.3745102, 126.6339196, 37.3745193","126.633908,37.3745091"
n31,202U-화장실(여),f2tb,2.872769392,"126.633938, 37.374539, 126.63396, 37.3745617","126.63396,37.3745617"
n31,ELEV실B2,f2elevb,3.898385775,"126.6339709, 37.3745187, 126.633938, 37.374539","126.6339729,37.374517"
n29,n30,f2r8,3.82927187,"126.633887, 37.3745379, 126.6339196, 37.3745193",0
n28,n29,f2r7,4.941103961,"126.6338451, 37.3745627, 126.633887, 37.3745379",0
